#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
[www.shutterstock.com][0]indoor-portrait-young-beautiful-woman-260nw-678208912.jpg,3687,"{}",1,0,"{""name"":""rect"",""x"":24,""y"":4,""width"":54,""height"":76}","{}"
[www.shutterstock.com][0]thinking-black-afro-american-man-260nw-674836288.jpg,4450,"{}",1,0,"{""name"":""rect"",""x"":28,""y"":4,""width"":49,""height"":69}","{}"
[www.shutterstock.com][2]cheerful-darkskinned-girl-smiling-broadly-260nw-635442125.jpg,4785,"{}",1,0,"{""name"":""rect"",""x"":23,""y"":9,""width"":53,""height"":59}","{}"
[www.shutterstock.com][2]portrait-beautiful-young-woman-looking-260nw-91985807.jpg,5349,"{}",1,0,"{""name"":""rect"",""x"":20,""y"":10,""width"":55,""height"":48}","{}"
[www.shutterstock.com][2]portrait-elderly-serious-man-260nw-367597715.jpg,3999,"{}",1,0,"{""name"":""rect"",""x"":36,""y"":4,""width"":46,""height"":49}","{}"
[www.shutterstock.com][4]portrait-smiling-young-black-woman-260nw-720115021.jpg,4881,"{}",1,0,"{""name"":""rect"",""x"":36,""y"":4,""width"":55,""height"":72}","{}"
[www.shutterstock.com][5]worried-woman-gardener-gloves-standing-260nw-1549874054.jpg,9709,"{}",1,0,"{""name"":""rect"",""x"":39,""y"":6,""width"":25,""height"":28}","{}"
[www.shutterstock.com][6]portrait-serious-business-man-glasses-260nw-71846869.jpg,6069,"{}",1,0,"{""name"":""rect"",""x"":13,""y"":6,""width"":73,""height"":66}","{}"
[www.shutterstock.com][7]happy-60s-senior-asian-woman-260nw-69003061.jpg,5461,"{}",1,0,"{""name"":""rect"",""x"":25,""y"":4,""width"":57,""height"":69}","{}"
[www.shutterstock.com][10]attractive-beautiful-positive-asian-man-260nw-720702637.jpg,5702,"{}",1,0,"{""name"":""rect"",""x"":42,""y"":4,""width"":42,""height"":54}","{}"
[www.shutterstock.com][10]joyful-successful-young-european-female-260nw-716886988.jpg,4255,"{}",1,0,"{""name"":""rect"",""x"":19,""y"":2,""width"":49,""height"":60}","{}"
[www.shutterstock.com][12]face-handsome-hispanic-man-looking-260nw-1557421448.jpg,4622,"{}",1,0,"{""name"":""rect"",""x"":27,""y"":3,""width"":52,""height"":54}","{}"
[www.shutterstock.com][13]beautiful-half-face-woman-glasess-260nw-48517213.jpg,4007,"{}",1,0,"{""name"":""rect"",""x"":35,""y"":0,""width"":64,""height"":91}","{}"
[www.shutterstock.com][16]excited-face-small-boy-260nw-59725192.jpg,5477,"{}",1,0,"{""name"":""rect"",""x"":29,""y"":4,""width"":58,""height"":80}","{}"
[www.shutterstock.com][16]senior-adult-man-face-smile-260nw-617850989.jpg,4547,"{}",1,0,"{""name"":""rect"",""x"":26,""y"":4,""width"":47,""height"":62}","{}"
[www.shutterstock.com][21]portrait-woman-problem-clear-skin-260nw-481178416.jpg,4782,"{}",1,0,"{""name"":""rect"",""x"":24,""y"":2,""width"":53,""height"":72}","{}"
[www.shutterstock.com][23]head-shoulders-portrait-bearded-middleaged-260nw-1016723143.jpg,4001,"{}",1,0,"{""name"":""rect"",""x"":46,""y"":7,""width"":39,""height"":56}","{}"
[www.shutterstock.com][23]young-black-woman-afro-hairstyle-260nw-447504466.jpg,5226,"{}",1,0,"{""name"":""rect"",""x"":24,""y"":5,""width"":61,""height"":63}","{}"
[www.shutterstock.com][27]isolated-portrait-stylish-young-mixed-260nw-640007002.jpg,4903,"{}",1,0,"{""name"":""rect"",""x"":23,""y"":4,""width"":57,""height"":65}","{}"
[www.shutterstock.com][32]head-shot-portrait-happy-african-260nw-1388808398.jpg,5431,"{}",1,0,"{""name"":""rect"",""x"":27,""y"":4,""width"":56,""height"":68}","{}"
[www.shutterstock.com][34]close-portrait-older-man-leaning-260nw-1614321094.jpg,6063,"{}",1,0,"{""name"":""rect"",""x"":31,""y"":6,""width"":46,""height"":65}","{}"
[www.shutterstock.com][40]portrait-cute-little-smiling-girl-260nw-1248974617.jpg,5507,"{}",1,0,"{""name"":""rect"",""x"":15,""y"":5,""width"":49,""height"":63}","{}"
[www.shutterstock.com][42]newborn-baby-portrait-funny-shocked-260nw-328002479.jpg,4050,"{}",1,0,"{""name"":""rect"",""x"":20,""y"":7,""width"":54,""height"":74}","{}"
[www.shutterstock.com][42]portrait-handsome-young-man-260nw-140699755.jpg,5464,"{}",1,0,"{""name"":""rect"",""x"":6,""y"":1,""width"":71,""height"":81}","{}"
[www.shutterstock.com][42]senior-adult-nursing-home-men-260nw-271775594.jpg,5299,"{}",1,0,"{""name"":""rect"",""x"":21,""y"":2,""width"":56,""height"":84}","{}"
[www.shutterstock.com][45]closeup-portrait-attractive-young-businesswoman-260nw-57425890.jpg,6892,"{}",1,0,"{""name"":""rect"",""x"":33,""y"":1,""width"":63,""height"":78}","{}"
[www.shutterstock.com][46]young-beautiful-freckles-woman-face-260nw-289941458.jpg,4591,"{}",1,0,"{""name"":""rect"",""x"":14,""y"":0,""width"":67,""height"":92}","{}"
[www.shutterstock.com][51]close-portrait-casual-young-man-260nw-398256856.jpg,5327,"{}",1,0,"{""name"":""rect"",""x"":15,""y"":5,""width"":66,""height"":54}","{}"
[www.shutterstock.com][52]women-adult-smile-latin-american-260nw-519250822.jpg,3721,"{}",1,0,"{""name"":""rect"",""x"":31,""y"":3,""width"":39,""height"":71}","{}"
[www.shutterstock.com][53]mature-woman-relaxing-autumn-landscape-260nw-181047446.jpg,5627,"{}",1,0,"{""name"":""rect"",""x"":44,""y"":2,""width"":50,""height"":59}","{}"
[www.shutterstock.com][58]image-handsome-smiling-young-african-260nw-722913181.jpg,4410,"{}",1,0,"{""name"":""rect"",""x"":24,""y"":6,""width"":60,""height"":84}","{}"
[www.shutterstock.com][59]close-beautiful-young-womans-face-260nw-1044578179.jpg,3564,"{}",1,0,"{""name"":""rect"",""x"":49,""y"":0,""width"":50,""height"":92}","{}"
[www.shutterstock.com][59]close-portrait-professional-business-woman-260nw-287720834.jpg,6128,"{}",1,0,"{""name"":""rect"",""x"":28,""y"":2,""width"":39,""height"":62}","{}"
[www.shutterstock.com][63]portrait-happy-fashionable-handsome-man-260nw-600200732.jpg,4319,"{}",1,0,"{""name"":""rect"",""x"":27,""y"":5,""width"":39,""height"":50}","{}"
[www.shutterstock.com][64]portrait-serious-calm-minded-businessman-260nw-447511012.jpg,4214,"{}",1,0,"{""name"":""rect"",""x"":25,""y"":8,""width"":44,""height"":67}","{}"
[www.shutterstock.com][65]portrait-happy-senior-man-260nw-69819619.jpg,6358,"{}",1,0,"{""name"":""rect"",""x"":11,""y"":3,""width"":66,""height"":57}","{}"
[www.shutterstock.com][71]portrait-happy-smiling-child-girl-260nw-1061204849.jpg,3920,"{}",1,0,"{""name"":""rect"",""x"":44,""y"":10,""width"":44,""height"":67}","{}"
[www.shutterstock.com][79]close-portrait-smiling-businessman-looking-260nw-489874090.jpg,6431,"{}",1,0,"{""name"":""rect"",""x"":47,""y"":4,""width"":46,""height"":68}","{}"
[www.shutterstock.com][79]close-portrait-young-man-black-260nw-86117260.jpg,5566,"{}",1,0,"{""name"":""rect"",""x"":10,""y"":1,""width"":86,""height"":91}","{}"
[www.shutterstock.com][81]profile-pretty-hipster-witn-tattoo-260nw-1159227568.jpg,3771,"{}",1,0,"{""name"":""rect"",""x"":21,""y"":1,""width"":52,""height"":69}","{}"
[www.shutterstock.com][82]happy-little-asian-girl-having-260nw-759574315.jpg,5959,"{}",1,0,"{""name"":""rect"",""x"":18,""y"":1,""width"":62,""height"":77}","{}"
[www.shutterstock.com][82]portrait-real-black-african-man-260nw-505303918.jpg,6455,"{}",1,0,"{""name"":""rect"",""x"":11,""y"":1,""width"":82,""height"":80}","{}"
[www.shutterstock.com][82]portrait-real-man-face-looking-260nw-154705646.jpg,6641,"{}",1,0,"{""name"":""rect"",""x"":8,""y"":1,""width"":88,""height"":88}","{}"
[www.shutterstock.com][84]closeup-portrait-attractive-young-man-260nw-111502529.jpg,5140,"{}",1,0,"{""name"":""rect"",""x"":38,""y"":1,""width"":61,""height"":91}","{}"
[www.shutterstock.com][85]adult-woman-portrait-skin-care-260nw-666699082.jpg,4257,"{}",1,0,"{""name"":""rect"",""x"":19,""y"":3,""width"":62,""height"":89}","{}"
[www.shutterstock.com][86]closeup-portrait-elderly-man-260nw-303875591.jpg,5812,"{}",1,0,"{""name"":""rect"",""x"":14,""y"":1,""width"":74,""height"":91}","{}"
[www.shutterstock.com][86]portrait-on-white-background-4-260nw-1558873223.jpg,4132,"{}",1,0,"{""name"":""rect"",""x"":16,""y"":22,""width"":44,""height"":60}","{}"
[www.shutterstock.com][87]highly-detailed-portrait-normal-person-260nw-90142606.jpg,6069,"{}",1,0,"{""name"":""rect"",""x"":8,""y"":6,""width"":78,""height"":72}","{}"
[www.shutterstock.com][87]portrait-hapy-young-smart-businessman-260nw-433256203.jpg,3276,"{}",1,0,"{""name"":""rect"",""x"":32,""y"":9,""width"":40,""height"":74}","{}"
[www.shutterstock.com][88]young-casual-man-portrait-isolated-260nw-71585848.jpg,4433,"{}",1,0,"{""name"":""rect"",""x"":25,""y"":2,""width"":48,""height"":73}","{}"
[www.shutterstock.com][93]highly-detailed-fine-art-portrait-260nw-62372578.jpg,6869,"{}",1,0,"{""name"":""rect"",""x"":8,""y"":4,""width"":87,""height"":88}","{}"
[www.shutterstock.com][93]portrait-sitting-senior-man-home-260nw-261302252.jpg,6822,"{}",1,0,"{""name"":""rect"",""x"":21,""y"":2,""width"":46,""height"":57}","{}"
[www.shutterstock.com][95]people-lifestyle-youth-happiness-concept-260nw-682723903.jpg,4153,"{}",1,0,"{""name"":""rect"",""x"":25,""y"":10,""width"":47,""height"":61}","{}"
[www.shutterstock.com][96]adult-hispanic-man-over-isolated-260nw-1217337823.jpg,4480,"{}",1,0,"{""name"":""rect"",""x"":44,""y"":1,""width"":37,""height"":56}","{}"
[www.shutterstock.com][100]portrait-smiling-young-man-facial-260nw-281086565.jpg,7178,"{}",1,0,"{""name"":""rect"",""x"":34,""y"":22,""width"":32,""height"":56}","{}"
[www.shutterstock.com][102]africanamerican-woman-260nw-516982411.jpg,3331,"{}",1,0,"{""name"":""rect"",""x"":39,""y"":9,""width"":40,""height"":47}","{}"
[www.shutterstock.com][103]expression-people-concept-smiling-man-260nw-483376930.jpg,4056,"{}",1,0,"{""name"":""rect"",""x"":27,""y"":9,""width"":47,""height"":60}","{}"
[www.shutterstock.com][105]close-portrait-serious-mature-businessman-260nw-59791816.jpg,4906,"{}",1,0,"{""name"":""rect"",""x"":40,""y"":1,""width"":59,""height"":86}","{}"
[www.shutterstock.com][106]happy-man-on-white-background-260nw-667692511.jpg,4372,"{}",1,0,"{""name"":""rect"",""x"":30,""y"":7,""width"":38,""height"":64}","{}"
[www.shutterstock.com][111]smiling-african-american-millennial-businessman-260nw-1437938108.jpg,4330,"{}",1,0,"{""name"":""rect"",""x"":30,""y"":5,""width"":36,""height"":54}","{}"
[www.shutterstock.com][112]portrait-thai-china-adult-beautiful-260nw-777883600.jpg,4004,"{}",1,0,"{""name"":""rect"",""x"":55,""y"":9,""width"":25,""height"":50}","{}"
[www.shutterstock.com][113]close-portrait-happy-70yearold-optimist-260nw-1368753140.jpg,4934,"{}",1,0,"{""name"":""rect"",""x"":20,""y"":1,""width"":62,""height"":76}","{}"
[www.shutterstock.com][116]summer-sunny-lifestyle-fashion-portrait-260nw-423189763.jpg,5254,"{}",1,0,"{""name"":""rect"",""x"":26,""y"":1,""width"":54,""height"":68}","{}"
[www.shutterstock.com][119]highly-detailed-fine-art-portrait-260nw-62371291.jpg,7105,"{}",1,0,"{""name"":""rect"",""x"":10,""y"":2,""width"":84,""height"":85}","{}"
[www.shutterstock.com][119]picture-emotioanl-attractive-young-woamn-260nw-1208370781.jpg,4761,"{}",1,0,"{""name"":""rect"",""x"":25,""y"":2,""width"":61,""height"":85}","{}"
